grouping,group_columns,row_count,pct_with_prior_1,pct_with_prior_5,pct_with_prior_20,pct_with_prior_50,median_prior_count,p25_prior_count,p75_prior_count,max_prior_count
Route,Route,143197,99.98044651773431,99.94273623050762,99.82960536882756,99.62848383695189,6761.0,2452.0,12495.0,37597
Incident,Incident,143197,100.0,100.0,100.0,100.0,43494.0,19726.0,260213.0,296012
mode,mode,143197,100.0,100.0,100.0,100.0,628568.0,592769.0,664367.0,700166
Route + Incident,Route + Incident,143197,99.83449373939398,99.20668729093487,96.05368827559236,89.86920117041558,499.0,161.0,1328.0,13232
mode + Incident,mode + Incident,143197,100.0,100.0,100.0,100.0,38561.0,12070.0,213717.0,249516
Route + Direction,Route + Direction,143197,99.94203789185528,99.75069310111245,98.96855381048486,97.28066928776441,1226.0,390.0,4278.0,16014
Route + hour,Route + hour,143197,99.74580473054603,99.01673917749673,96.47618316026174,90.33219969692102,294.0,115.0,637.0,2523
Route + Incident + hour,Route + Incident + hour,143197,95.9391607366076,81.91791727480324,55.24277743248811,34.508404505680986,25.0,7.0,78.0,1213
Location,Location,143197,92.46981431175234,85.95501302401587,76.1629084408193,66.8331040454758,167.0,22.0,1286.0,17021
Location + Incident,Location + Incident,143197,82.87952959908378,66.16619063248532,46.63016683310405,34.64527888154081,15.0,2.0,110.0,9757
Location + hour,Location + hour,143197,78.19996228971277,57.737941437320615,35.92044526072474,25.960739400965103,8.0,1.0,56.0,2063
