feature_name,feature_type,grouping,target,expected_value,reason,risks,recommended_for_phase_11b,priority_rank
prior_route_incident_mean_delay,prior_mean,Route + Incident,both,high,Captures route-specific incident severity while using prior-only history. Support: 96.1% of eval rows have at least 20 prior observations. EDA coverage: 99.8%.,sparse; leakage risk,True,1
prior_mode_incident_mean_delay,prior_mean,mode + Incident,both,high,Lower-cardinality fallback for incident severity by vehicle mode. Support: 100.0% of eval rows have at least 20 prior observations. EDA coverage: 100.0%.,leakage risk,True,2
prior_route_direction_mean_delay,prior_mean,Route + Direction,regression,medium,Adds directional route behavior beyond current route-level history. Support: 99.0% of eval rows have at least 20 prior observations. EDA coverage: 99.9%.,sparse; leakage risk,True,3
prior_route_incident_count,prior_count,Route + Incident,both,medium,Exposes support/confidence for route-incident historical means. Support: 96.1% of eval rows have at least 20 prior observations.,sparse,True,4
prior_route_30d_mean_delay,rolling_mean,Route,regression,high,Current recent route behavior may capture service disruptions and seasonal drift. Support: 99.8% of eval rows have at least 20 prior observations. EDA coverage: 99.7%.,slow computation; leakage risk,True,5
prior_incident_30d_mean_delay,rolling_mean,Incident,both,medium,Recent incident severity can adapt to operational changes with broad support. Support: 100.0% of eval rows have at least 20 prior observations. EDA coverage: 100.0%.,slow computation; leakage risk,True,6
prior_route_30d_severe_rate_30,rolling_rate,Route,severe_30,high,Directly targets severe-delay propensity using recent prior route outcomes. Support: 99.8% of eval rows have at least 20 prior observations. EDA coverage: 99.7%.,slow computation; leakage risk,True,7
prior_incident_30d_severe_rate_30,rolling_rate,Incident,severe_30,medium,Direct incident-level severe-rate signal with lower cardinality than route incident. Support: 100.0% of eval rows have at least 20 prior observations. EDA coverage: 100.0%.,slow computation; leakage risk,True,8
prior_location_mean_delay,prior_mean,Location,both,medium,Potentially captures recurring hotspots if normalized location support is healthy. Support: 76.2% of eval rows have at least 20 prior observations. EDA coverage: 92.5%.,high cardinality; sparse; leakage risk,True,9
prior_location_incident_mean_delay,prior_mean,Location + Incident,both,low,Useful only if support is unexpectedly strong after location normalization. Support: 46.6% of eval rows have at least 20 prior observations. EDA coverage: 82.9%.,high cardinality; sparse; slow computation; leakage risk,False,10
