threshold_minutes,split,probability_cutoff,positive_rate,roc_auc,pr_auc,log_loss,brier_score,precision,recall,f1,accuracy,true_positives,false_positives,true_negatives,false_negatives,row_count
30,validation,0.1,0.1027789275366456,0.8966549434054571,0.5406887524343176,0.48825289573302166,0.1529092491453152,0.13025554967805483,0.9916678239133454,0.23026570359860699,0.3185847023393232,7141,47682,15180,60,70063
30,validation,0.2,0.1027789275366456,0.8966549434054571,0.5406887524343176,0.48825289573302166,0.1529092491453152,0.1819809383392133,0.9598666851826135,0.30595577982869665,0.5524171103150022,6912,31070,31792,289,70063
30,validation,0.3,0.1027789275366456,0.8966549434054571,0.5406887524343176,0.48825289573302166,0.1529092491453152,0.22419713189254695,0.924871545618664,0.360907144986046,0.6633458458815638,6660,23046,39816,541,70063
30,validation,0.4,0.1027789275366456,0.8966549434054571,0.5406887524343176,0.48825289573302166,0.1529092491453152,0.25569630337794774,0.8914039716706013,0.39739978331527626,0.7221500649415526,6419,18685,44177,782,70063
30,validation,0.5,0.1027789275366456,0.8966549434054571,0.5406887524343176,0.48825289573302166,0.1529092491453152,0.3073933888468332,0.8458547423968893,0.4509179745336097,0.7882762656466323,6091,13724,49138,1110,70063
30,validation,0.6,0.1027789275366456,0.8966549434054571,0.5406887524343176,0.48825289573302166,0.1529092491453152,0.36325836325836325,0.80072212192751,0.49978330588541214,0.8352625494198079,5766,10107,52755,1435,70063
30,validation,0.7,0.1027789275366456,0.8966549434054571,0.5406887524343176,0.48825289573302166,0.1529092491453152,0.4285030704202887,0.7461463685599222,0.5443768996960486,0.8716298188772962,5373,7166,55696,1828,70063
30,validation,0.8,0.1027789275366456,0.8966549434054571,0.5406887524343176,0.48825289573302166,0.1529092491453152,0.5192607437096415,0.6476878211359534,0.5764073410368906,0.9021594850348972,4664,4318,58544,2537,70063
30,validation,0.9,0.1027789275366456,0.8966549434054571,0.5406887524343176,0.48825289573302166,0.1529092491453152,0.5786345847224236,0.5543674489654214,0.5662411347517731,0.912707135007065,3992,2907,59955,3209,70063
60,validation,0.1,0.030344118864450566,0.9466619446041751,0.38844826931352805,0.3316597431093761,0.08921362559058461,0.0720313965199875,0.9755409219190969,0.134156990847052,0.6179010319284073,2074,26719,41218,52,70063
60,validation,0.2,0.030344118864450566,0.9466619446041751,0.38844826931352805,0.3316597431093761,0.08921362559058461,0.09966306948581474,0.9600188146754468,0.18057951780579518,0.735623652998016,2041,18438,49499,85,70063
60,validation,0.3,0.030344118864450566,0.9466619446041751,0.38844826931352805,0.3316597431093761,0.08921362559058461,0.1298718284070102,0.9341486359360301,0.22803995866345161,0.8080870074076189,1986,13306,54631,140,70063
60,validation,0.4,0.030344118864450566,0.9466619446041751,0.38844826931352805,0.3316597431093761,0.08921362559058461,0.1836967907818303,0.9073377234242709,0.30553575671180805,0.8748412143356693,1929,8572,59365,197,70063
60,validation,0.5,0.030344118864450566,0.9466619446041751,0.38844826931352805,0.3316597431093761,0.08921362559058461,0.24175684277530235,0.8932267168391346,0.38052299368800724,0.9117508528039051,1899,5956,61981,227,70063
60,validation,0.6,0.030344118864450566,0.9466619446041751,0.38844826931352805,0.3316597431093761,0.08921362559058461,0.26437756111346616,0.8800564440263405,0.4066065413452135,0.922055864008107,1871,5206,62731,255,70063
60,validation,0.7,0.030344118864450566,0.9466619446041751,0.38844826931352805,0.3316597431093761,0.08921362559058461,0.2714328092554138,0.8607714016933208,0.41271989174560214,0.9256668997901888,1830,4912,63025,296,70063
60,validation,0.8,0.030344118864450566,0.9466619446041751,0.38844826931352805,0.3316597431093761,0.08921362559058461,0.2977891156462585,0.823612417685795,0.4374219335498376,0.935714999357721,1751,4129,63808,375,70063
60,validation,0.9,0.030344118864450566,0.9466619446041751,0.38844826931352805,0.3316597431093761,0.08921362559058461,0.340390203403902,0.7714016933207902,0.47235023041474655,0.9477042090689808,1640,3178,64759,486,70063
