split,threshold_minutes,risk_band,row_count,actual_severe_delay_rate,mean_predicted_probability
validation,30,low,32081,0.00900844736760076,0.10897588980796721
validation,30,medium,18167,0.045191831342544175,0.3301482541904837
validation,30,high,19815,0.3073933888468332,0.7713654071731818
test,30,low,31683,0.008332544266641416,0.11033925742363147
test,30,medium,19618,0.04699765521459884,0.3335408125836461
test,30,high,21833,0.28461503229056934,0.7698970252063344
validation,60,low,49584,0.0017142626653759278,0.0677885079940863
validation,60,medium,12624,0.011248415716096324,0.3253554110409378
validation,60,high,7855,0.24175684277530235,0.8680937150797975
test,60,low,50495,0.001623923160708981,0.06861599745718203
test,60,medium,14293,0.010704540684251033,0.31626853209103845
test,60,high,8346,0.25892643182362807,0.8775212170121883
